Play,Iteration,Identifier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Player 1 action,Faisal,f,c,c,c,f,,,,,,,,,
0,Player 2 Action,Bharathvaj,c,f,c,f,f,,,,,,,,,
1,Player 1 action,yuan ,c,f,f,,,,,,,,,,,
1,Player 2 Action,Dagmar,c,c,f,,,,,,,,,,,
2,Player 1 action,Ehsan,c,c,f,f,c,c,c,c,c,c,f,f,,
2,Player 2 Action,Mohammend,c,c,c,c,f,c,c,c,c,f,c,c,,
3,Player 1 action,Tao,f,c,f,c,c,,,,,,,,,
3,Player 2 Action,Rohini,c,f,f,c,c,,,,,,,,,
4,Player 1 action,Anita,c,c,f,c,c,c,f,,,,,,,
4,Player 2 Action,Greg,c,c,c,f,c,c,c,,,,,,,
5,Player 1 action,Lucas,c,c,c,c,,,,,,,,,,
5,Player 2 Action,Bharathvaj,f,f,c,c,,,,,,,,,,
6,Player 1 action,Kevin,f,f,f,f,f,f,f,f,f,c,c,f,c,f
6,Player 2 Action,Kushagra,c,f,f,f,f,f,f,f,f,f,c,c,f,c
7,Player 1 action,Matt,f,c,,,,,,,,,,,,
7,Player 2 Action,Nimism,c,c,,,,,,,,,,,,
8,Player 1 action,James,c,f,c,c,f,,,,,,,,,
8,Player 2 Action,Taylor,f,c,c,f,c,,,,,,,,,
9,Player 1 action,Owen,f,f,f,,,,,,,,,,,
9,Player 2 Action,Neil,f,f,f,,,,,,,,,,,
10,Player 1 action,Matt G,f,f,f,f,,,,,,,,,,
10,Player 2 Action,Ben,f,f,c,c,,,,,,,,,,
11,Player 1 action,Thomas ,f,c,,,,,,,,,,,,
11,Player 2 Action,Daniel,c,c,,,,,,,,,,,,
12,Player 1 action,Daniel,c,c,c,c,f,f,c,c,c,,,,,
12,Player 2 Action,Ben,c,c,f,c,c,f,c,c,f,,,,,
13,Player 1 action,Papa,f,f,c,c,f,f,c,f,f,f,f,,,
13,Player 2 Action,Mama,c,c,c,f,c,f,f,f,f,c,f,,,
14,Player 1 action,Owen,c,f,f,f,,,,,,,,,,
14,Player 2 Action,Michelle,c,c,f,c,,,,,,,,,,
15,Player 1 action,Owen,f,c,f,f,f,f,,,,,,,,
15,Player 2 Action,Michelle,f,f,f,f,f,f,,,,,,,,
15,Player 1 action,Owen,c,c,f,f,,,,,,,,,,
15,Player 2 Action,Michelle,c,c,c,f,,,,,,,,,,
15,Player 1 action,Owen,c,f,,,,,,,,,,,,
15,Player 2 Action,Michelle,f,c,,,,,,,,,,,,
15,Player 1 action,Owen,c,f,f,f,c,f,f,,,,,,,
15,Player 2 Action,Michelle,c,f,f,f,f,c,f,,,,,,,
15,Player 1 action,Owen,f,c,f,c,f,,,,,,,,,
15,Player 2 Action,Michelle,c,f,c,f,c,,,,,,,,,
15,Player 1 action,Owen,f,f,f,,,,,,,,,,,
15,Player 2 Action,Michelle,c,f,f,,,,,,,,,,,
15,Player 1 action,Owen,f,f,f,,,,,,,,,,,
15,Player 2 Action,Michelle,f,f,f,,,,,,,,,,,
15,Player 1 action,Owen,c,f,f,f,,,,,,,,,,
15,Player 2 Action,Michelle,c,f,f,f,,,,,,,,,,
15,Player 1 action,Owen,f,c,f,f,f,f,f,f,,,,,,
15,Player 2 Action,Michelle,c,f,f,f,f,f,f,f,,,,,,
